"time","x","y","z"
0,1,1,1
0.01,1.012566174720139,1.25992015460205,0.9848912132551263
0.02,1.048823649189922,1.524000017198251,0.9731150352806676
0.03,1.107207671813324,1.798314636236907,0.9651596348870838
0.04,1.186868278885883,2.088543984170767,0.9617379646010278
0.05,1.287557043426243,2.400159095059181,0.9638064095571304
0.06,1.409571417929875,2.738551109203892,0.9726088208312899
0.07,1.553690829818808,3.109160730846506,0.9897316980608134
0.08,1.72114734510167,3.517577291488954,1.017187240550915
0.09,1.913598144164736,3.969623702977777,1.057513132857438
0.1,2.13310926988308,4.471420503402353,1.113900722179892
0.11,2.382150326401064,5.029422439939532,1.190356762378946
0.12,2.663585666356028,5.650445304241162,1.291897507881719
0.13,2.980672621909389,6.34162669316935,1.424790475014978
0.14,3.337051186611252,7.110346264652952,1.596846230563427
0.15,3.736722511679321,7.964080443701498,1.81776077626962
0.16,4.184013718252525,8.910156079448775,2.099508647637379
0.17,4.68351499971264,9.955347767509044,2.456799271802902
0.18,5.239977187628779,11.10529880231107,2.907560623368137
0.19,5.858142066290741,12.36370480935748,3.473433281998104
0.2,6.542520866968689,13.73116556158737,4.180190420340805
0.21,7.297038285844821,15.20361489589783,5.058014397499417
0.22,8.124555635509452,16.7703687974582,6.141449560741346
0.23,9.02622207772076,18.4116326029196,7.468765658559597
0.24,10.00064720354653,20.09561766074664,9.080516306465183
0.25,11.04283206450479,21.77540690707072,11.01672940974015
0.26,12.1429438322292,23.38612810730237,13.31248728153423
0.27,13.28496054782222,24.84310700946058,15.99145322386871
0.28,14.44537366854581,26.04227536960629,19.05737787408729
0.29,15.59221687920503,26.86424608823647,22.48422107707898
0.3,16.68481240560858,27.18352560182031,26.2064643256634
0.31,17.67470406895101,26.88359752122211,30.11238693439203
0.32,18.5081906379638,25.87698954508918,34.04388184532647
0.33,19.13064936697774,24.12703684246213,37.80619005699143
0.34,19.492371158839,21.66560569180979,41.18894563022458
0.35,19.55506477115919,18.60005601515716,43.99603551939919
0.36,19.29767952303657,15.10479706671249,46.07769583870182
0.37,18.72007893199394,11.39712248198958,47.35570377698713
0.38,17.84354950515907,7.703413162335875,47.83379341739384
0.39,16.70792413771238,4.225003401049011,47.590443256684
0.4,15.36612652424243,1.11310267064438,46.75758639099463
0.41,13.87750039054967,-1.542197942608576,45.49282650072126
0.42,12.30141463864212,-3.709540732675312,43.95345251722072
0.43,10.69218671523949,-5.40447899801407,42.27752604724028
0.44,9.095844374901672,-6.673866069888806,40.57395286599252
0.45,7.548677848118949,-7.580902630001642,38.92031984216097
0.46,6.077209909825861,-8.193380595584067,37.36591593239803
0.47,4.699097715123494,-8.575855458939325,35.9372983557829
0.48,3.424517425720863,-8.785337179829041,34.64441544625132
0.49,2.257693441769747,-8.869572337504374,33.48612800905271
0.5,1.198359027355737,-8.867019823089425,32.45461607489606
0.51,0.2430286101582037,-8.80773982159163,31.53859348269219
0.52,-0.6139564270020955,-8.714646312523959,30.72549569795823
0.53,-1.37960494671034,-8.60483292827319,30.00285744383581
0.54,-2.061653992752261,-8.490790580369822,29.3591031732828
0.55,-2.668113169565203,-8.381447477622238,28.78393942486062
0.56,-3.206942209155517,-8.283017403692689,28.26849076543414
0.57,-3.685831141781655,-8.199669366298345,27.80528240952722
0.58,-4.112057478592769,-8.134045270238625,27.38813832447036
0.59,-4.492400068939405,-8.087653690616722,27.01203932777824
0.6,-4.83309370352609,-8.061165873570991,26.67296868379636
0.61,-5.1398124869066,-8.054635823950051,26.36776108173053
0.62,-5.417673020718383,-8.067661742458121,26.09396344401338
0.63,-5.671248485498915,-8.099511608429209,25.84970853885772
0.64,-5.904595201475071,-8.149201746579605,25.63360848146178
0.65,-6.121280722608766,-8.215559686076558,25.44466069991049
0.66,-6.324414185372076,-8.297267538419012,25.2821673002808
0.67,-6.51667736115089,-8.39289122009699,25.14566587195485
0.68,-6.70035550863881,-8.500897983241684,25.03486976667054
0.69,-6.877366318435329,-8.619666992360123,24.94961552191439
0.7,-7.049286767508872,-8.747495485179746,24.88981538003886
0.71,-7.217377790909532,-8.882601210556928,24.85541424068278
0.72,-7.382606930075534,-9.023123295747949,24.84634927057829
0.73,-7.545668779564008,-9.167123119792741,24.86251151692825
0.74,-7.70700323618236,-9.31258712565482,24.9037091034131
0.75,-7.866813210516526,-9.457430920933122,24.96963091439436
0.76,-8.025082559293741,-9.599505502599515,25.05981037914716
0.77,-8.181588040196253,-9.736615669568065,25.17359528433638
0.78,-8.335917872923158,-9.86652924508321,25.31011261738639
0.79,-8.487486248998968,-9.987005616895285,25.46824139886497
0.8,-8.635550278712696,-10.09583100607469,25.64659063247343
0.81,-8.779230432457837,-10.19085185258922,25.84348084819106
0.82,-8.917529676400124,-10.27001475028829,26.05692931092786
0.83,-9.04935626308775,-10.33140895112338,26.28464597468098
0.84,-9.173551765023969,-10.37332898704244,26.52404691929666
0.85,-9.288915889919139,-10.39431472175734,26.77226730381691
0.86,-9.394237256700668,-10.3932094180722,27.02618949154358
0.87,-9.488328254756563,-10.3692124078125,27.28249504086529
0.88,-9.570054875860027,-10.32191079886819,27.53771231852825
0.89,-9.638373407917358,-10.25131903033032,27.78828578690434
0.9,-9.692362297807909,-10.15790307034965,28.03064109698523
0.91,-9.731254252790835,-10.04258145743559,28.26127309905998
0.92,-9.754464422394665,-9.906714570356829,28.47683273999028
0.93,-9.761612767963646,-9.752077081346203,28.67420386166631
0.94,-9.752542355981356,-9.580820785247509,28.85057433170543
0.95,-9.727332860498469,-9.395424347617952,29.00350248233286
0.96,-9.686305096814374,-9.198625406473628,29.13096912772536
0.97,-9.630019602044822,-8.993343736063444,29.23142263481017
0.98,-9.55926688832856,-8.782599822155786,29.30380191719448
0.99,-9.475051184458191,-8.569434488084474,29.34754115557169
1,-9.378566246191415,-8.356833264709786,29.36255110496709
1,-9.378566246191415,-8.356833264709786,29.36255110496709
